Common name,Scientific name,Status,No.,No. Back
White-breasted Guineafowl,Agelastes meleagrides,,1,0
Black Guineafowl,Agelastes niger,,0,0
Helmeted Guineafowl,Numida meleagris,,116,227
Plumed Guineafowl,Guttera plumifera,,5,0
Crested Guineafowl,Guttera pucherani,,17,3
Vulturine Guineafowl,Acryllium vulturinum,,14,0
Stone Partridge,Ptilopachus petrosus,,49,10
Nahan's Partridge,Ptilopachus nahani,,6,0
Buffy-crowned Wood Partridge,Dendrortyx leucophrys,,16,4
Long-tailed Wood Partridge,Dendrortyx macroura,,42,7
Bearded Wood Partridge,Dendrortyx barbatus,,9,0
Mountain Quail,Oreortyx pictus,,90,220
Scaled Quail,Callipepla squamata,,59,32
Elegant Quail,Callipepla douglasii,,52,101
California Quail,Callipepla californica,,187,291
Gambel's Quail,Callipepla gambelii,,135,1160
Banded Quail,Philortyx fasciatus,,16,1
Northern Bobwhite,Colinus virginianus,,118,118
Yucatan Bobwhite,Colinus nigrogularis,,8,1
Spot-bellied Bobwhite,Colinus leucopogon,,28,31
Crested Bobwhite,Colinus cristatus,,60,45
Marbled Wood Quail,Odontophorus gujanensis,,86,11
Spot-winged Wood Quail,Odontophorus capueira,,76,11
Black-eared Wood Quail,Odontophorus melanotis,,26,1
Rufous-fronted Wood Quail,Odontophorus erythrops,,33,6
Black-fronted Wood Quail,Odontophorus atrifrons,,21,3
Chestnut Wood Quail,Odontophorus hyperythrus,,97,4
Dark-backed Wood Quail,Odontophorus melanonotus,,29,8
Rufous-breasted Wood Quail,Odontophorus speciosus,,34,5
Tacarcuna Wood Quail,Odontophorus dialeucos,,6,0
Gorgeted Wood Quail,Odontophorus strophium,,37,1
Venezuelan Wood Quail,Odontophorus columbianus,,7,0
Black-breasted Wood Quail,Odontophorus leucolaemus,,23,0
Stripe-faced Wood Quail,Odontophorus balliviani,,15,5
Starred Wood Quail,Odontophorus stellatus,,33,39
Spotted Wood Quail,Odontophorus guttatus,,46,4
Singing Quail,Dactylortyx thoracicus,,40,12
Montezuma Quail,Cyrtonyx montezumae,,76,22
Ocellated Quail,Cyrtonyx ocellatus,,17,1
Tawny-faced Quail,Rhynchortyx cinctus,,41,12
Udzungwa Forest Partridge,Xenoperdix udzungwensis,,6,1
Rubeho Forest Partridge,Xenoperdix obscuratus,,34,0
Ferruginous Partridge,Caloperdix oculeus,,19,0
Crested Partridge,Rollulus rouloul,,26,2
Black Partridge,Melanoperdix niger,,3,0
Hill Partridge,Arborophila torqueola,,68,38
Sichuan Partridge,Arborophila rufipectus,,6,0
Chestnut-breasted Partridge,Arborophila mandellii,,15,2
White-necklaced Partridge,Arborophila gingica,,14,1
Rufous-throated Partridge,Arborophila rufogularis,,56,26
Red-billed Partridge,Arborophila rubrirostris,,8,0
Siamese Partridge,Arborophila diversa,,3,0
Chestnut-headed Partridge,Arborophila cambodiana,,8,0
Hainan Partridge,Arborophila ardens,,22,2
Taiwan Partridge,Arborophila crudigularis,,14,13
White-cheeked Partridge,Arborophila atrogularis,,17,1
Bar-backed Partridge,Arborophila brunneopectus,,17,0
Orange-necked Partridge,Arborophila davidi,,19,1
Red-breasted Partridge,Arborophila hyperythra,,30,0
Malayan Partridge,Arborophila campbelli,,27,3
Roll's Partridge,Arborophila rolli,,10,0
Sumatran Partridge,Arborophila sumatrana,,1,0
Chestnut-bellied Partridge,Arborophila javanica,,27,1
Grey-breasted Partridge,Arborophila orientalis,,31,0
Snow Partridge,Lerwa lerwa,,15,1
Blood Pheasant,Ithaginis cruentus,,28,4
Western Tragopan,Tragopan melanocephalus,,3,0
Satyr Tragopan,Tragopan satyra,,10,1
Blyth's Tragopan,Tragopan blythii,,14,1
Temminck's Tragopan,Tragopan temminckii,,10,1
Cabot's Tragopan,Tragopan caboti,,5,0
Verreaux's Monal-Partridge,Tetraophasis obscurus,,16,0
Szechenyi's Monal-Partridge,Tetraophasis szechenyii,,11,0
Himalayan Monal,Lophophorus impejanus,,39,2
Sclater's Monal,Lophophorus sclateri,,2,0
Chinese Monal,Lophophorus lhuysii,,11,0
Koklass Pheasant,Pucrasia macrolopha,,38,3
Wild Turkey,Meleagris gallopavo,,118,122
Ocellated Turkey,Meleagris ocellata,,12,0
Ruffed Grouse,Bonasa umbellus,,40,17
Hazel Grouse,Tetrastes bonasia,,340,29
Chinese Grouse,Tetrastes sewerzowi,,1,0
Sage Grouse,Centrocercus urophasianus,,34,1
Gunnison Grouse,Centrocercus minimus,,7,0
Dusky Grouse,Dendragapus obscurus,,24,0
Sooty Grouse,Dendragapus fuliginosus,,50,8
Sharp-tailed Grouse,Tympanuchus phasianellus,,46,20
Greater Prairie Chicken,Tympanuchus cupido,,43,4
Lesser Prairie Chicken,Tympanuchus pallidicinctus,,19,0
White-tailed Ptarmigan,Lagopus leucura,,46,1
Willow Ptarmigan,Lagopus lagopus,,182,74
Rock Ptarmigan,Lagopus muta,,85,11
Siberian Grouse,Falcipennis falcipennis,,1,0
Spruce Grouse,Canachites canadensis,,26,0
Western Capercaillie,Tetrao urogallus,,150,15
Black-billed Capercaillie,Tetrao urogalloides,,19,2
Black Grouse,Lyrurus tetrix,,256,236
Caucasian Grouse,Lyrurus mlokosiewiczi,,1,0
Long-billed Partridge,Rhizothera longirostris,,18,0
Dulit Partridge,Rhizothera dulitensis,,0,0
Tibetan Partridge,Perdix hodgsoniae,,12,0
